Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Assam State Transport Corporation (ASTC) - 147480,Bharat Benz A/C Seater (2+2),05:00,09:00,04h 00m,INR 270,2 Seats available,"3.9
322",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 135927,Volvo AC Seater 2+2,07:10,11:40,04h 30m,INR 298,21 Seats available,"4.2
341",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 156885,Bharat Benz A/C Seater (2+2),08:00,12:30,04h 30m,INR 298,20 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 153223,Bharat Benz A/C Seater (2+2),09:15,14:00,04h 45m,INR 298,25 Seats available,"3.6
83",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 170878,Bharat Benz A/C Seater (2+2),10:35,15:15,04h 40m,INR 298,10 Seats available,"4.6
76",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 140400,Volvo AC Seater 2+2,14:00,18:30,04h 30m,INR 298,20 Seats available,4.0,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 154930,Volvo AC Seater 2+2,15:45,20:00,04h 15m,INR 298,31 Seats available,"3.3
29",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 143958,Bharat Benz A/C Seater (2+2),16:15,20:30,04h 15m,INR 298,30 Seats available,"3.9
95",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
MAA Anada (UNDER ASTC),AC Seater (2+2),05:20,08:30,03h 10m,INR 304.2,22 Seats available,"3.2
36",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),05:40,08:55,03h 15m,340,7 Seats available,"4.6
402",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),05:45,09:00,03h 15m,INR 360,19 Seats available,"3.9
234",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),05:55,09:00,03h 05m,INR 352.38,12 Seats available,"4.4
45",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),Bharat Benz A/C Seater (2+2),06:15,09:40,03h 25m,338,15 Seats available,"3.9
71",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,Bharat Benz A/C Seater (2+2),06:30,10:25,03h 55m,INR 360,27 Seats available,"4.2
405",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Orient Transline,A/C Seater (2+1),07:35,11:00,03h 25m,INR 342.86,14 Seats available,"3.7
101",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
WARISPIYA TRAVELS,AC Seater (2+2),07:45,12:00,04h 15m,INR 360,26 Seats available,"4.1
354",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Mahi Travels(Under ASTC),A/C Seater (2+2),08:00,11:30,03h 30m,357,25 Seats available,"4.6
91",https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Pranjit Travels (Under ASTC),A/C Seater (2+1),11:15,15:30,04h 15m,INR 450,29 Seats available,3.8,https://www.redbus.in/bus-tickets/tezpur-to-guwahati,Tezpur to Guwahati
Assam State Transport Corporation (ASTC) - 172754,Bharat Benz A/C Seater (2+2),06:10,10:30,04h 20m,INR 298,9 Seats available,"3.9
19",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Assam State Transport Corporation (ASTC) - 154910,Bharat Benz A/C Seater (2+2),10:30,15:00,04h 30m,INR 298,26 Seats available,"3.7
321",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
