Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
SBSTC-BURDWAN - KOLKATA - 05:45 (BWN DEPOT) - 2,Non AC Seater (2+3),05:45,07:45,02h 00m,INR 95,30 Seats available,"4.5
74",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 06:15 (BWN DEPOT) - 4,Non AC Seater (2+3),06:15,08:15,02h 00m,INR 95,6 Seats available,"4.1
111",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 07:25 (BWN DEPOT) - 9,Non AC Seater (2+3),07:25,09:25,02h 00m,INR 95,6 Seats available,"4.3
100",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - A/C - 08:00 (BWN DEPOT) - 12,AC Seater (2+2),08:00,10:00,02h 00m,INR 180,10 Seats available,"3.5
22",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 08:15 (BWN DEPOT) - 13,Non AC Seater (2+3),08:15,10:15,02h 00m,INR 95,32 Seats available,"4.2
104",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 08:35 (KALNA DEPOT) - 461,Non AC Seater (2+3),08:35,10:35,02h 00m,INR 95,37 Seats available,"3.8
40",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 09:30 (KALNA DEPOT) - 51,Non AC Seater (2+3),09:30,12:00,02h 30m,INR 100,20 Seats available,"4.2
120",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 09:30 (BWN DEPOT) - 18,Non AC Seater (2+3),09:30,11:30,02h 00m,INR 95,35 Seats available,"4.1
65",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 10:00 (KALNA DEPOT) - 20,Non AC Seater (2+3),10:00,12:00,02h 00m,INR 95,50 Seats available,"3.9
28",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 10:15 (BWN DEPOT) - 52,Non AC Seater (2+3),10:15,12:45,02h 30m,INR 100,21 Seats available,"4.3
107",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 10:30 (BWN DEPOT) - 21,Non AC Seater (2+3),10:30,12:30,02h 00m,INR 95,36 Seats available,"3.2
42",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 11:00 (BWN DEPOT) - 705,Non AC Seater (2+3),11:00,13:30,02h 30m,INR 100,51 Seats available,"3.6
54",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 11:30 (BWN DEPOT) - 23,Non AC Seater (2+3),11:30,13:30,02h 00m,INR 95,42 Seats available,"3.8
34",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 11:45 (BWN DEPOT) - 53,Non AC Seater (2+3),11:45,14:15,02h 30m,INR 100,39 Seats available,"3.5
54",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KARUNAMOYEE - 12:30 (BWN DEPOT) - 54,Non AC Seater (2+3),12:30,15:00,02h 30m,INR 100,38 Seats available,"4.3
89",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
SBSTC-BURDWAN - KOLKATA - 12:30 (BWN DEPOT) - 25,Non AC Seater (2+3),12:30,14:30,02h 00m,INR 95,49 Seats available,"3.2
37",https://www.redbus.in/bus-tickets/burdwan-to-kolkata,Burdwan to Kolkata
