Route_name,Route_link
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
Bareilly to Delhi,https://www.redbus.in/bus-tickets/bareilly-to-delhi
Aligarh (uttar pradesh) to Delhi,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi
Delhi to Bareilly,https://www.redbus.in/bus-tickets/delhi-to-bareilly
Delhi to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh
Farrukhabad (Uttar Pradesh) to Delhi,https://www.redbus.in/bus-tickets/farrukhabad-up-to-delhi
Badaun to Delhi,https://www.redbus.in/bus-tickets/badaun-to-delhi
Lucknow to Allahabad,https://www.redbus.in/bus-tickets/lucknow-to-allahabad
Lucknow to Varanasi,https://www.redbus.in/bus-tickets/lucknow-to-varanasi
Delhi to Badaun,https://www.redbus.in/bus-tickets/delhi-to-badaun
Agra to Bareilly,https://www.redbus.in/bus-tickets/agra-to-bareilly
